Filename,Caption
the_ghost_of_Colonel_John_Waller_Hoomes_haunts_his.png,a black and white photo of a person on a laptop .
A_worker_claims_to_have_pictures_of_the_ghosts_1_c.png,a group of people standing next to each other .
Noises_running_up_the_walls_of_the_steps__lady_cal.png,a close up of a person holding a frisbee
Currier_Hall___According_to_rumor__a_triple_suicid.png,a large building with a clock on the top of it .
Comet_Lodge_Cemetery___Apparitions_and_shadows_see.png,a group of people sitting on a bench in front of a building .
Feelings_of_getting_sick__major_emotions_and_disor.png,a black and white photo of a person on a laptop .
This_building_was_originally_the_county_poor_farm_.png,a blue and white photo of a train station .
Hallas_Hall___supposedly_haunted_by_a_baby__Legend.png,a clock on the side of a building
You_enter_the_graveyard_though_the_front_entrance_.png,a picture of a clock on a wall .
Every_morning_at_about_midnight__It_is_said_to_be.png,a cake shaped like a train on a table .
Faint__deep_moans_can_be_heard_on_the_second_story.png,a black and white photo of a person on a laptop .
a_couple_was_in_a_wreck_on_prom_night__The_girl_ca.png,a birthday cake with candles on top of it .
School_house___Sometimes_when_you_walk_in_the_hous.png,a close up of a red and white fire hydrant .
a_girl_fell_off_of_ladder_on_stage_by_props_balcon.png,a black and white photo of a person on a laptop .
The_owners_have_an_outside_annual_Halloween_bonfir.png,a fire hydrant in front of a building .
Arguably_the_most_haunted_cemetery_in_central_Illi.png,a painting of a man holding a skateboard .
Thirteen_Graves___January_2006_Correction___This_w.png,a book sitting on top of a wooden table .
on_a_bridge_going_across_the_creek_to_the_Guilford.png,a black and white photo of a train on a track .
This_tourist_attraction_contains_the_ghost_of_a_wo.png,a black and white photo of a person on a laptop .
Land_of_Moses___Located_just_outside_of_Butler_off.png,a man holding a soccer ball in his hands .
A_former_worker_for_10_years_reports__The_building.png,a red stop sign sitting on the side of a road .
Visitors_of_the_old_cemetery_get_chased_by_a_ghost.png,a room with a window and a clock
Theater___There_are_multiple_places_on_campus_that.png,a row of wooden benches sitting next to each other .
In_1907_there_was_a_women_and_her_husband_living_i.png,a black and white photo of a clock tower .
If_you_walk_down_the_center_of_the_cemetery_you_wi.png,a close up of a vase with flowers in it
On_the_date_of_February_6__1996__the_way_of_life_i.png,a black and white photo of a person on a laptop .
These_stories_have_been_passed_down_for_a_good_200.png,a bedroom with a bed and a canopy
Located_on_the_back_roads_between_Minonk_and_Elpas.png,a black and white photo of a horse grazing in a field .
Evergreen_Cemetery__87th_St___Kedzie_Ave___A_young.png,a white bench sitting in front of a building .
shallow_graves___Once_an_industrial_school_for_gir.png,a close up of a wall with a clock
A_man_named_Moody_roams_the_countryside_and_if_you.png,a group of people standing next to each other .
on_the_way_into_Hana___On_the_railroad_tracks_on_6.png,an airplane wing flying over a mountain range .
