Filename,Caption
1st_Floor___There_are_ghost_in_the_kitchen_that_li.png,a living room with a couch and a table
201_Bruce_Hall____a_dorm_on_the_University_Pittsbu.png,a large building with a clock on it .
2am_in_the_morning_me_and_my_friends_were_video_ta.png,a fire hydrant in the middle of a street .
2nd_Floor___Another_continuous_sighting_involves_a.png,a bathroom with a toilet and a shower .
2_boys_saw_three_ghostly_white_dogs_on_a_trail_beh.png,a black and white photo of a dog and a dog
2_men_died_in_a_fire_of_the_upstairs__When_you_go.png,a room that has a bed and a table in it
2_overnight_employees__each_in_a_different_part_of.png,a man is taking a picture of himself in the mirror .
4_girls_said_to_have_been_raped_and_murdered_haunt.png,a black and white photo of a man in a mirror
5_years_ago_a_married_man_with_2_children_came_out.png,a couple of signs that are on a wall .
Abandon_barn_were_3_people_were_killed__Street_clo.png,a rusted out door of a house next to a building .
About_10_years_ago_a_student_was_driving_into_the.png,a black and white photo of a car parked in a parking lot .
About_15_years_ago_the_couple_that_lived_in_the_To.png,a cat sitting on a toilet in a bathroom .
About_20_years_ago_a_janitor_hung_him_self_in_the.png,a man riding a snowboard down a snow covered slope .
About_33_years_ago__at_a_old_school_called_Berwyn.png,a black and white photo of a city street
About_3_years_ago_around_exam_week__a_young_man_st.png,a book shelf filled with lots of books .
About_50_years_ago_there_were_some_teens_out_at_th.png,a person walking down a street with a umbrella .
About_50_years_ago_when_the_school_was_being_built.png,a black and white photo of a bathroom
About_forty_years_ago_a_little_girl_fell_off_the_c.png,a train traveling over a bridge over a river .
About_two_weeks_ago_February_2_20_04__around_10_00.png,a black and white photo of a bathroom .
Above_a_local_hardware_store__the_owner_has_three.png,a room filled with lots of furniture and a window .
According_to_legend__this_castle_was_built_in_1890.png,a large building with a clock tower on top .
Ada_witch___Sometimes_you_can_see_a_misty_blue_fig.png,a group of people standing on top of a lush green field .
Adobe_Compound___Purchased_from_the_Mexican_govern.png,a man sitting on a bench in front of a building .
After_a_basketball_game_a_kid_fell_down_4_flights.png,a large clock mounted to the side of a building .
after_bell_rings_you_see_a_kid_in_60_or_70s_clothe.png,a woman standing in a kitchen next to a refrigerator .
After_employees_lock_up_for_the_night__lights_star.png,a bathroom with a sink and a mirror
After_School_hours__students_and_staff_have_seen_t.png,a bathroom with a toilet and a sink
After_shutting_off_lights_in_the_bar_for_the_eveni.png,a kitchen with a table and chairs in it
After_the_Park_closed_in_1986__it_lay_abandoned__S.png,a black and white photo of a street sign
after_the_road_dips_down_a_small_hill__if_you_stop.png,a red fire hydrant sitting on the side of a road .
Allegheny_Center__Building__7___It_has_a_documente.png,a large building with a clock on the front of it .
Allen_s_farm_has_an_annual__Allen_s_Haunted_Hayrid.png,a group of cows grazing in a field .
All_of_the_buildings_at_the_hospital_are_old_and_s.png,a large clock tower towering over a city .
All_year_round__but_mainly_in_the_Fall_and_Winter_.png,a red fire hydrant sitting in the middle of a field .
Almshouse_Rd__and_Rt__611__The_complex_was_used_as.png,a black and white photo of a street corner
Along_a_road_in_Independence_Twp__in_Beaver_county.png,a train traveling through a lush green countryside .
Along_time_ago__there_was_a_lady_who_lived_2_miles.png,a red and white fire hydrant sitting in the middle of a field .
ALPHA_OMEGA_WING___small_child_with_a_red_ball_in.png,a black and white photo of a woman in a bathroom
Alpha_Sigma_Tau_Sorority_House___The_story_goes_th.png,a room with a bed and a window
Althaugh_the_home_is_owned_by_new_owners_now__the.png,a red fire hydrant in front of a house .
Alumni_Hall___Aside_from_the_abnormal_creaks_in_th.png,a bathroom with a sink and a mirror
Alumni_Hall___James_Naismith__inventor_of_basketba.png,a black and white photo of a living room .
always_had_spiritual_activity_in_the_gym_stage_are.png,a room filled with lots of furniture and a tv .
American_Indian_spirits_are_seen_in_areas_adjacent.png,a baseball field with a baseball field in the background .
Amity_Hall_Hotel___Amity_Hall___There_was_a_young.png,a building with a clock tower on top of it .
Anchor_Blue___There_is_a_ghost_in_the_stockroom__i.png,a room filled with lots of different types of luggage .
Ancient_Indian_Burial_Grounds_that_have_been_built.png,a black and white photo of a building with a clock tower .
Angel_Lake___At_one_time_there_was_an_old_slaughte.png,a lake with a boat in the water .
Ann_Arbor_rd___Sheldon___Late_at_night_when_everyo.png,a train station with a train on the tracks .
Anyone_that_stays_in_room_number_5_will_hear_bangi.png,a bathroom with a shower and a toilet .
Anytime_of_the_day_or_night__you_can_hear_footstep.png,a bathroom with a shower and a toilet .
Any_area_of_the_island_that_had_enough_soil_as_at.png,a black and white photo of a horse and a horse
An_abandoned_farm_house_located_2_miles_north_of_B.png,a black and white photo of a barn in a field .
An_apparition_of_a_girl_has_been_seen_twice_by_emp.png,a black and white photo of a person on a laptop .
An_apparition_of_a_woman_in_a_white_dress_has_been.png,a man standing in a field holding a frisbee .
An_elderly_man_sits_in_a_rocking_chair_by_the_fire.png,a man sitting on a chair in a room .
An_electrician_was_putting_the_lighting_up_for_the.png,a group of people sitting on a couch with laptops .
An_eleven_year_old_girl__whose_last_name_is_Sloane.png,a building with a red fire hydrant on the side of it .
An_individual_has_been_seen_and_heard_walking_arou.png,a black and white photo of a building with a clock tower .
An_old_abandoned_slaughter_house_that_has_been_boa.png,a black and white photo of a horse in a barn .
An_old_bar_called_the_Rusty_Nail_was_said_to_have.png,a living room with a couch and a table
An_old_farmer_went_insane_and_killed_his_family_an.png,a black and white photo of a truck and a car
An_old_man__believed_to_be_in_his_90_s_appears_in.png,a black and white photo of a man in a suit
An_old_Public_School_that_has_been_shut_down_and_t.png,a black and white photo of a living room .
an_old_railroad_tunnel_with_7_large_steps_leading.png,a black and white photo of a train station .
An_unknown_ghost_haunts_the_halls_of_the_third_flo.png,a view of a room with a large window .
Apparently_in_the_late_1970_s_a_female_freshman_co.png,a large building with a clock on it .
Apparently_when_you_drive_into_Upland_from_the_Cla.png,a street corner with a traffic light and a street sign .
Apparent_hauntings_occur_here__Built_in_the_late_1.png,a group of people sitting on a bench in front of a building .
Apparitions_of_a_noose_that_swings__hear_a_father.png,a woman sitting on a couch holding a wii remote .
Apparitions_of_kids_and_equipment_moves_.png,a black and white photo of a living room
Apparitions_seen_.png,a pair of shoes and a pair of scissors .
Apparitions__feelings_of_being_watched____strange.png,a bunch of different colored ties hanging from a wall .
Apparition_of_a_lady_in_a_white_dress_with_a_white.png,a black and white photo of a bathroom
Apparition_of_a_lady_in_white_and_a_ghost_of_a_lit.png,a man in a suit and tie holding a teddy bear .
Apparition_of_a_little_girl__misplaced_items_would.png,a black and white photo of a man and a woman
April_2008_removed_.png,a black and white photo of a barn and a barn
Around_1970_a_mysterious_fire_broke_out_in_the_dow.png,a black and white photo of a man in a bathroom
Around_7_30pm_every_night_at_Garden_City_High_Scho.png,a man holding a tennis racquet on a tennis court .
Around_the_70_s_or_80_s_students_would_go_to_the_p.png,a black and white photo of a person sitting on a bench
Around_this_huge_cemetery_there_are_many_other_sma.png,a woman standing next to a statue of a man .
Art_Center___an_Indian_girl_has_been_reported_wand.png,a woman is standing in front of a door .
Ashburn_Hall_Guest_House____Very_haunted_place__Ha.png,a building with a clock on the top of it .
Ash_Hall___There_is_a_mysterious_fire_ghost_who_ro.png,a black and white photo of a man holding a skateboard .
As_you_enter__sometimes_you_can_see_a_girl_with_lo.png,a black and white photo of a room with a window
As_you_go_in_the_old_place_back_in_1903_a_man_was.png,a black and white photo of a man and a woman
As_you_turn_onto_North_Street_from_East_Street_lat.png,a black and white photo of a train station
At_3_00_a_m__the_spirits_walk_the_graveyard__And_s.png,a black and white photo of a street light
At_9_30_in_the_morning_a_purple_and_red_haze_can_s.png,a park bench in the middle of a park .
At_Farmington_Grave_yard_you_can_see_3_little_girl.png,a group of people standing next to each other .
at_memory_town_there_are_these_little_hotels__peop.png,a black and white photo of a boat in the water .
At_night_after_closing_when_you_are_downstairs_you.png,a room filled with lots of wooden furniture .
At_night_around_ten_o_clock_dark_figures_are_seen.png,a black and white photo of a street sign .
At_night_if_your_not_in_the_room_at_12_00_midnight.png,"a bathroom with a toilet , sink , and bathtub ."
At_night_if_you_walk_around_the_nature_trails__you.png,a person is holding a white frisbee in the snow .
At_night_in_a_garden_there_is_figure_of_a_young_gi.png,a bench sitting in the middle of a park .
At_night_in_the_underground_area_where_the_holding.png,a black and white photo of a train station .
At_night_through_out_the_woods_you_can_hear_moanin.png,a person holding a skateboard in a room .
At_night_while_driving_East_on_Wheeler_Rd_near_Mey.png,a stop sign on the side of the road .
At_night_you_an_drive_down_this_road_and_see_weird.png,a person riding a snow board on a snowy surface
At_night_you_can_see_lights_up_on_the_hill__Report.png,a black and white photo of a park bench
At_night_you_can_see_the_ghosts_of_two_boys_playin.png,a black and white photo of a man on a skateboard .
at_night__every_night_if_you_go_down_the_whole_tra.png,a couple of animals that are in the grass .
at_night__there_is_a_figure_that_comes_around_ever.png,a black and white photo of a pair of scissors
At_night__voices_of_little_children_playing_can_be.png,a train traveling down tracks next to a forest .
At_the_bottom_of_Coulterville_Road__when_you_must.png,a black and white photo of an old church .
At_the_completion_of_the_roller_coaster_a_Maintena.png,a black and white photo of a motorcycle
At_the_Cunnif_cemetery_there_are_the_graves_from_p.png,a black and white photo of a fire hydrant .
At_the_end_of_seven_Galbles_rd__found_off_Dexter_t.png,a wooden bench in front of a house .
At_the_Lancaster_Green_Apartments__building_K_2_yo.png,a tall building with a clock on top of it .
At_the_turn_of_the_20th_Century__when_the_station.png,a black and white photo of a living room .
AuditoriumIn_the_back_of_the_auditorium_there_is_a.png,a person walking down a sidewalk next to a traffic light .
Auditorium___There_are_reports_of_the_Auditorium_b.png,a close up of a neatly made bed
A_300_year_old_cemetary_built_upon_by_a_christian.png,a black and white photo of a park bench
A_bar_in_which_there_is_an_old_slave_tunnel_in_the.png,a man in a suit and tie standing in front of a building .
A_bed_and_breakfast_on_the_site_of_an_old_plantati.png,a black and white photo of a building with a fire hydrant .
A_black_spirit_has_been_seen_in_the_embalming_room.png,a bedroom with a bed and a desk
A_boy_coming_out_of_gym_class_was_said_to_have_col.png,a man standing in front of a bathroom mirror .
A_boy_is_believed_to_have_drowned_when_the_pool_wa.png,a black and white photo of a bathroom
A_car_with_large_headlights_appears_from_the_top_o.png,a black and white photo of a boat in the water .
A_Christian_Brother_that_passed_away_has_been_hear.png,"a bathroom with a toilet , sink , and bathtub ."
a_civil_war_soldier_has_been_seen_here_.png,a church with a steeple and a clock on top .
A_family_called_the_Church_family_built_the_old_ho.png,a black and white photo of a church with a clock tower .
A_female_student_at_the_Dubois_Area_High_school_wa.png,a close up of a person with a frisbee
A_few_witnesses_heard_footsteps_and_saw_heads_in_t.png,a black and white photo of a train
A_few_years_ago_Jeans_Hospital_was_having_financia.png,a man and a woman standing in a kitchen .
A_few_years_ago_there_was_a_fight_at_the_park__and.png,a park bench sitting in the middle of a park .
A_former_chicken_coop_that_was_used_as_a_speakeasy.png,a black and white photo of a brick building
a_former_employee_back_in_1999__Encountered_an_app.png,a room filled with lots of different types of furniture .
A_former_employee_killed_himself_on_the_2nd_floor.png,a man standing in front of a bathroom mirror .
A_former_employee_reported_seeing_a_teenage_girl_h.png,a black and white photo of a train
A_former_worker_reports_weird_things_would_happen.png,a black and white photo of a clock tower .
a_former_worker_that_worked_there_for_about_4_mont.png,a black and white photo of a train station .
a_former_worker_used_to_work_here_doing_post_morte.png,a man standing in front of a mirror in a room .
A_fourteen_year_old_girl_was_crushed_behind_the_bl.png,a view of a bathroom with a sink and a mirror .
a_ghost_has_been_seen_on_the_stairs_and_in_a_rocki.png,a black and white photo of a wooden bench
A_ghost_has_been_seen_walking_around_in_the_wrestl.png,a man riding a skateboard up the side of a ramp .
A_ghost_named_Eli_has_been_known_to_close_doors__m.png,a living room filled with furniture and a fire place .
A_ghost_named_George_who_was_supposedly_hung_by_ac.png,a man is standing in front of a mirror .
a_ghost_of_a_caring_nun_haunts_the_6th_floor_of_th.png,a black and white photo of a man standing in a room .
a_ghost_of_a_Hessian_soldier_in_the_basement_of_th.png,a black and white photo of a man on a skateboard .
A_ghost_of_a_man_frequents_this_place__we_are_unsu.png,a black and white photo of a bathroom
A_ghost_of_a_murdered_wife_believed_to_have_come_b.png,a woman is standing in front of a mirror
A_ghost_train_can_be_seen_on_foggy_nights_off_of_H.png,a city street at night with lights on .
A_gift_to_the_town_in_the_early_20th_century_from.png,a room that has a large bed in it
a_girl_is_seen_frequently_around_the_park_after_yo.png,a black and white photo of a bathroom with a shower
A_Girl_was_raped_and_killed_in_the_library__if_you.png,a black and white photo of a person on a laptop .
A_girl_was_seen_in_one_of_the_rooms_during_the_nig.png,a woman taking a picture of herself in a mirror .
a_gray_ghost_haunts_room_24_.png,a black and white photo of a vase with a flower in it .
a_green_ghost_of_a_man_that_dies_there_in_the_1930.png,a man standing next to a woman in a room .
A_heavy_and_oppressive_feeling_takes_over_you_as_y.png,a black and white photo of a person on a snowboard .
A_heavy_mist_appears_across_the_canal_and_starts_t.png,a view of a snow covered mountain in the distance .
A_house_Norwich_St_hosts_a_ghost__On_the_second_st.png,a red fire hydrant sitting on the side of a building .
A_huge_tomb_in_a_grass_hill_is_said_to_be_haunted.png,a black and white photo of a skate board
A_janitor_hung_himself_in_the_auditorium_because_h.png,a black and white photo of a man in a suit
A_janitor_was_killed_in_the_auditorium_of_Johnstow.png,a black and white photo of a city street
a_janitor_was_killed_in_the_basement_by_a_student.png,a black and white photo of a public restroom
A_janitor_who_has_been_thought_to_worship_Satan_an.png,a black and white photo of a person standing in a room .
a_lady_and_her_daughter_went_out_on_a_small_boat_r.png,a red and white boat floating on top of a lake .
A_lady_in_white_that_was_seen_by_a_jogger_one_nigh.png,a blue and white flower in a green field .
A_lady_is_said_to_have_been_murdered_in_the_old_ho.png,a man is standing in front of an open door .
A_large_ship_with_giant_sails_was_drifting_out_nea.png,a man standing on top of a boat in the ocean .
A_little_boy_haunts_theater_number_5_who_was_kille.png,a black and white photo of a man standing in a doorway
a_little_boy_was_hit_by_a_train_right_under_the_br.png,a black and white photo of an old church .
A_little_girl_has_been_heard_crying_in_the_woods_b.png,a person standing in the snow with a snowboard .
A_little_girl_haunts_the_building__along_with_poss.png,a black and white photo of a bedroom
A_little_girl_hung_herself_from_the_swing_set_ther.png,a man in a field with a frisbee
A_little_girl_seems_to_be_haunting_the_projection.png,a black and white photo of a bathroom
A_little_girl_was_killed_suddenly_while_waiting_fo.png,a black and white photo of a fire hydrant
A_little_girl_with_long_hair_haunts_this_Bed___Bre.png,a little girl sitting on a bed with a laptop .
A_long_time_ago__a_young_Native_American_and_her_w.png,a train traveling over a bridge over a river .
A_long_while_back_the_Tuberculosis_patients_were_s.png,a black and white photo of a bedroom
a_lot_of_strange_things_have_happened_there__Repor.png,a black and white photo of a bathroom
A_maid_that_fell_down_the_stairs_of_the_castle_tow.png,a large building with a clock on it .
a_male_and_a_female_about_18_years_of_age_back_in.png,a man standing in front of a wall with a surfboard .
A_man_burnt_his_baby__wife_and_himself_in_an_upsta.png,a black and white photo of a cat looking out a window .
A_man_in_black_can_sometimes_be_seen_floating_up_a.png,a man standing on a sidewalk holding a skateboard .
A_man_named_Ed_died_here_last_year_while_playing_E.png,a living room filled with lots of furniture .
A_man_named_Louie_was_killed_outside_on_the_front.png,a cat sitting on a bench outside a building .
A_man_walks_around_the_bar_blowing_on_all_of_the_l.png,a black and white photo of a woman in a car
A_man_was_burnt_alive_in_the_school_and_haunts_the.png,a man in a suit and tie standing in front of a building .
A_man_was_killed_by_a_drowning_in_the_outside_pool.png,a group of people standing on top of a boat .
a_man_was_saved_from_being_crushed_by_a_ghost_of_m.png,a young boy wearing a tie and glasses .
A_mother_and_young_daughter_can_be_heard_talking_t.png,a black and white photo of a room with a window .
A_murder_has_occurred_there__if_you_look_carefully.png,a black and white photo of a man and a woman
A_murder_suspect_was_hung_in_front_of_the_Inn_and.png,a black and white photo of a building with a clock tower .
A_mysterious_lady_in_white_has_been_spotted_in_thi.png,a black and white photo of a fire hydrant .
a_number_of_ghosts_have_been_seen_here_including_T.png,a black and white photo of a man and a woman
A_nun_that_lived_in_the_convent_there_many_years_a.png,a man standing in a bathroom next to a toilet .
A_old_woman_has_been_seen_walking_up_and_down_the.png,a black and white photo of a street sign
a_priest_was_murdered_there_in_1960_a_ghost_is_see.png,a large building with a clock on it .
A_room_in_the_hotel_is_believed_to_be_haunted_by_A.png,a living room filled with furniture and a fire place .
A_school_custodian_died_very_suddenly_of_a_violent.png,a group of people sitting in front of a sign .
A_section_of_the_road_Pushes_your_vehicle_uphill_w.png,a view of a road with a car driving down it .
A_section_of_Wilkes_Barre_is_plains__there_is_only.png,a black and white photo of people sitting on benches
A_security_guard_reports_in_the_basement_of_the_ol.png,a black and white photo of a room with a window .
A_side_street_north_of_16_mile_on_Woodward_holds_a.png,a black and white photo of a snow covered street .
A_small_area_on_the_outskirts_of_the_small_town_is.png,a large building with a clock tower on top .
A_small_cemetery_with_few_graves__Upon_passing_thr.png,a row of wooden park benches sitting next to each other .
A_small_island_on_Dunn_Pond_is_said_to_be_haunted_.png,a black and white photo of a boat in the water .
A_small_passenger_plane_crashed_into_the_pond_seve.png,a small boat in a body of water
A_small_town_in_California_named_Scotia__there_are.png,a living room with a couch and a table
A_soldier_in_his_late_teens_early_20_s_from_the_Re.png,a black and white photo of a man in a suit .
a_state_trooper_stated_she_goes_up_there_all_the_t.png,a black and white photo of a park bench
A_strange_ghost_hangs_around_this_place_a_lot__He.png,a black and white photo of a man in a suit
A_student_by_the_name_of_Edwin_was_killed_in_the_t.png,a man standing in a bathroom next to a toilet .
A_student_committed_suicide_and_still_haunts_his_r.png,a black and white photo of a building with a clock
A_student_here_experienced_many_hauntings_working.png,a black and white photo of a kitchen .
A_student_who_died_in_the_mid_90_s_has_been_known.png,a black and white photo of a bedroom
a_supervisor_was_shot_by_a_disgruntled_employee_in.png,a black and white photo of a man in a suit .
a_tall_dark_figure_of_a_man_walking_down_the_stree.png,a black and white photo of a person holding an umbrella .
A_three_family_house_next_to_a_church_in_second_an.png,a clock on a wall in a room
