Filename,Detected Objects
This_hotel_was_built_in_1910__and_apparently_a_man.png,"liner, ocean liner (0.50), paddlewheel, paddle wheel (0.08), library (0.07), palace (0.03)"
Rains_Hall_students_have_reported_seeing_strange_a.png,"monastery (0.84), prison, prison house (0.05), palace (0.03)"
The_P_O_W_exhibit_and_Lady_Be_Good_and_the_Hop_alo.png,"brass, memorial tablet, plaque (0.25), prison, prison house (0.18), prayer rug, prayer mat (0.08), wreck (0.04), quill, quill pen (0.03)"
Gibbs_Bridge___Reports_of_hearing_squealing_brakes.png,"viaduct (0.38), pier (0.17), steel arch bridge (0.16), suspension bridge (0.04)"
Has_been_removed.png,"barn (0.65), boathouse (0.04), church, church building (0.04), picket fence, paling (0.02)"
haunted_by__The_Pink_Lady___The_origin_of_the_pink.png,"castle (0.68), church, church building (0.09), palace (0.06), monastery (0.04)"
The_Theta_Phi_Alpha_House___Is_supposedly_hunted_b.png,"library (0.29), palace (0.11), window shade (0.11), flagpole, flagstaff (0.03), bookshop, bookstore, bookstall (0.03)"
At_night_there_are_noises_heard__and_things_seen_.png,"church, church building (0.51), jigsaw puzzle (0.16), book jacket, dust cover, dust jacket, dust wrapper (0.10), comic book (0.10)"
Beaver_Creek_Canal_systemA_reporter_once_took_a_pi.png,"lakeside, lakeshore (0.64), boathouse (0.08), valley, vale (0.05), viaduct (0.04), dam, dike, dyke (0.02)"
There_is_a_cemetery_on_the_left_hand_side_of_the_r.png,"pedestal, plinth, footstall (0.28), worm fence, snake fence, snake-rail fence, Virginia fence (0.12), obelisk (0.07), ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.04), picket fence, paling (0.04)"
Sounds_of_construction_work_at_the_school__Rumor_i.png,"barn (0.47), lumbermill, sawmill (0.20), worm fence, snake fence, snake-rail fence, Virginia fence (0.10), barrow, garden cart, lawn cart, wheelbarrow (0.03), picket fence, paling (0.02)"
AT_the_only_school_in_Green_Springs__Ohio_there_is.png,"library (0.90), flagpole, flagstaff (0.02)"
Allegedly_once_occupied_by_sea_serpent___monster_a.png,"church, church building (0.69), monastery (0.07), barn (0.02), prison, prison house (0.02), castle (0.02)"
Poltergeist_Presence_very_strong_in_this_14_screen.png,"broom (0.27), swab, swob, mop (0.13), prison, prison house (0.08), plunger, plumber's helper (0.07), pool table, billiard table, snooker table (0.03)"
This_theater_is_haunted_by_two_known_ghosts__One_i.png,"theater curtain, theatre curtain (0.44), cinema, movie theater, movie theatre, movie house, picture palace (0.30), stage (0.09), home theater, home theatre (0.02)"
The_house_where_George_Washington_s_doctor_lived__.png,"palace (0.52), castle (0.22), picket fence, paling (0.02)"
Story_of_a_Man_that_murdered_his_wife_and_a_terrib.png,"prison, prison house (0.27), suit, suit of clothes (0.17), umbrella (0.09), cowboy hat, ten-gallon hat (0.04), shovel (0.02)"
Nurses_have_seen_and_experienced___angels__in_the.png,"marimba, xylophone (0.57), lab coat, laboratory coat (0.14), restaurant, eating house, eating place, eatery (0.06), grand piano, grand (0.03), vestment (0.02)"
35th_Avenue_and_McDowell_____Update__Burned_down_M.png,"monastery (0.11), restaurant, eating house, eating place, eatery (0.10), prison, prison house (0.10), lakeside, lakeshore (0.04), castle (0.03)"
Kent_State_University___One_the_first_floor_of_All.png,"park bench (0.20), sundial (0.12), palace (0.08), worm fence, snake fence, snake-rail fence, Virginia fence (0.06), brass, memorial tablet, plaque (0.05)"
At_night_in_three_ghostly_lights_can_be_seen_two_o.png,"church, church building (0.92), barn (0.03)"
Oakachoy_Covered_Bridge___There_used_to_be_a_cover.png,boathouse (0.95)
this_small_newspaper_is_housed_in_a_extremely_haun.png,"crossword puzzle, crossword (0.90)"
Writings_on_the_walls__strange_noises__and_cold_sp.png,"fire screen, fireguard (0.94)"
There_is_a_very_small_hospital_on_the_east_side_of.png,"church, church building (0.26), castle (0.13), jigsaw puzzle (0.11), book jacket, dust cover, dust jacket, dust wrapper (0.08), birdhouse (0.07)"
There_are_cowboys_or_country_type_of_apparitions__.png,"cowboy hat, ten-gallon hat (0.99)"
Two_local_ghost_hunters_have_made_pictures_of_orbs.png,"monastery (0.29), church, church building (0.27), castle (0.18), dome (0.03), beacon, lighthouse, beacon light, pharos (0.02)"
Tangible_feeling_of_dread__oppression__and_sadness.png,"prison, prison house (0.47), vault (0.14), fire screen, fireguard (0.07), monastery (0.04), prayer rug, prayer mat (0.03)"
Somersville___Sarah_Norton___Sarah_Norton_was_a_mi.png,"barn (0.80), picket fence, paling (0.06), boathouse (0.02)"
Strange_events_are_an_everyday_occurrence__such_as.png,"picket fence, paling (0.45), boathouse (0.13), barn (0.05), worm fence, snake fence, snake-rail fence, Virginia fence (0.04), thatch, thatched roof (0.03)"
Ethal_Moore_Hall____The_ghost_of_a_young_woman_wai.png,"palace (0.31), castle (0.24), church, church building (0.12), tile roof (0.06), library (0.02)"
Reports_of_a_girl_dressed_in_a_long_black_dress_by.png,"cloak (0.59), fur coat (0.23), abaya (0.02)"
Near_the_village_of_Monroeville_Lamereaux_road_cro.png,barn (0.95)
Brady_Hall___there_have_been_students__oppressed_.png,"library (0.73), prison, prison house (0.08), palace (0.03), church, church building (0.02)"
Ghost_of_former_student_resides_there__Has_been_se.png,"palace (0.58), prison, prison house (0.10), castle (0.03), church, church building (0.03), monastery (0.03)"
Was_converted_into_a_Christian_boarding_school_in.png,"thatch, thatched roof (0.55), barn (0.08), church, church building (0.05), boathouse (0.05), monastery (0.03)"
The_original_owner_and_builder_of_Sacramento_s_old.png,"church, church building (0.34), palace (0.14), library (0.13), window screen (0.05), monastery (0.04)"
This_place_is_rumored_to_be_haunted_by_a_young_man.png,"prison, prison house (0.97)"
In_the_year_of_2003__a_young_man_of_the_age_20_was.png,"church, church building (0.58), picket fence, paling (0.18), barn (0.04), boathouse (0.02), mobile home, manufactured home (0.02)"
Its_called_Witches_Hollow_by_the_townspeople_becau.png,"church, church building (0.80), castle (0.08)"
The_old_Sante_Fe_Tracks_where_AVE_271_turns_into_A.png,freight car (0.93)
A_figure_in_white_has_been_seen_on_the_first_floor.png,"radiator (0.17), fountain (0.06), switch, electric switch, electrical switch (0.06), parking meter (0.03), spotlight, spot (0.03)"
Woman_in_White___Seen_in_park_setting_near_a_lone.png,"cloak (0.90), poncho (0.02)"
College_Hall___There_s_a_ghost_named_Stephanie_who.png,"vault (0.40), prison, prison house (0.28), shoji (0.04), library (0.03), monastery (0.02)"
Rumors_of_hauntings_on_the_second_floor__Things_mo.png,"picket fence, paling (0.81), boathouse (0.06), barn (0.02)"
If_you_go_there_late_at_night__you_can_hear_the_sc.png,"church, church building (0.72), barn (0.04), picket fence, paling (0.04), castle (0.03)"
Room__1___is_supposedly_haunted_by_one_of_the_form.png,"rocking chair, rocker (0.87)"
The_acute_building_at_the_developmental_center_is.png,"palace (0.94), castle (0.02)"
Old_deserted_town_which_was_the_site_of_civil_war.png,"church, church building (0.92)"
