Filename,Caption
The_ghost_of_claim_jumpers_and_outlaws__many_sente.png,a black and white photo of a city street
Reports_include_hearing_people_talking_and_screami.png,a bathroom with a toilet and a sink
There_is_a_haunted__seasonal__fire_station_in_the.png,a room with a door and a window
In_the_early_1980_s_there_was_said_to_be_a_young_g.png,a black and white photo of a building with a fire hydrant .
A_few_years_ago__a_girl_hung_herself_on_the_bridge.png,a group of people standing on top of a tennis court .
It_has_been_said_that_the_boy_s_3rd_floor_restroom.png,a black and white photo of a bathroom
At_night__as_you_drive_up_the_main_drive_of_the_gr.png,a person sitting on a bench in the rain .
13105_W_Glendale___Sounds_of_babies_crying_and_lit.png,a living room with a fire place and a fire place .
Now_housing_Louisiana_State_Police_Headquarters_an.png,a clock tower in the middle of a city street .
sightings_of_supernatural_beings_and_noises_heard.png,a fire hydrant in the middle of a field .
In_The_Stillwater_High_School_in_room_201__late_at.png,a black and white photo of a kitchen
The_theater_is_haunted_by_George__He_haunts_theatr.png,a building with a clock on the side of it
The_second_floor_use_to_be_the_children_s_hospital.png,a red stop sign sitting on the side of a building .
There_is_a_very_dense_forest_that_separates_2_neig.png,a fire hydrant in the middle of a field .
A_very_talented_drama_student_died_suddenly_back_i.png,a black and white photo of a television set
Voices_in_the_former_eating_area_as_well_as_the_ce.png,a black and white photo of a bathroom
Recreation_park_off_hwy_395___a_little_girl_slidin.png,a blue umbrella sitting on top of a sandy beach .
It_is_built_on_a_old_saloon_from_the_civil_war_in.png,a black and white photo of a bathroom
A_female_figure_appears_repeatedly_in_a_classroom.png,a bathroom with a shower and a toilet .
Back_in_the_1950_s_a_man_murdered_his_wife__and_th.png,a black and white photo of a street sign
Eerie_waves_of_murmuring_voices_have_been_heard_in.png,a black and white photo of a room with a window .
Merchandise_and_clothes_are_found_on_the_floor_the.png,a room filled with lots of furniture and clutter .
This_old__adults_only__hotel_was_once_the_former_s.png,a group of people standing outside of a building .
The_old_county_library_is_haunted__Down_main_stree.png,a black and white photo of a city street .
On_the_sixth_floor_of_Palo_Verde_East__there_was_a.png,a woman standing in front of a bathroom mirror .
the_Old_Salina_court_house___there_is_a_holding_ce.png,a black and white photo of a building with a clock tower .
It_is_known_to_be_said_that_in_the_pool_area_the_l.png,a train traveling down tracks next to a river .
This_cemetery_is_an_extremely_old_burial_site_that.png,a row of wooden benches sitting next to each other .
Faces_have_been_seen_in_the_bushes__Strange_noises.png,a row of parking meters sitting next to each other .
